size,density,method,time
1024,0.25,torch_spmm,0.003041577401260535
1024,0.25,sputnik,0.0005491034438212713
1024,0.125,torch_matmul,0.0002114971789220969
1024,0.125,torch_spmm,0.0016331536695361137
1024,0.125,sputnik,0.0003392905928194523
1024,0.0625,torch_matmul,0.00021402497465411823
1024,0.0625,torch_spmm,0.0009915765064458053
1024,0.0625,sputnik,0.00019887831682960193
1024,0.03125,torch_matmul,0.0002116884415348371
1024,0.03125,torch_spmm,0.0005741055433948834
1024,0.03125,sputnik,0.00011241259053349495
1024,0.015625,torch_matmul,0.0002115401749809583
1024,0.015625,torch_spmm,0.0003685994694630305
1024,0.015625,sputnik,6.697541102766991e-05
1024,0.0078125,torch_matmul,0.00020982489610711733
1024,0.0078125,torch_spmm,0.00025731253748138746
1024,0.0078125,sputnik,7.24459687868754e-05
1024,0.00390625,torch_matmul,0.00021116752177476882
1024,0.00390625,torch_spmm,0.00021583503112196923
1024,0.00390625,sputnik,7.763852675755819e-05
2048,1.0,torch_matmul,0.0015574580058455468
2048,1.0,torch_spmm,0.08947998710597554
2048,1.0,sputnik,0.010468374037494262
2048,0.5,torch_matmul,0.0015654004489382108
2048,0.5,torch_spmm,0.043112144557138285
2048,0.5,sputnik,0.007203692042579254
2048,0.25,torch_matmul,0.001541494857519865
2048,0.25,torch_spmm,0.02783640899385015
2048,0.25,sputnik,0.004853188091268142
2048,0.125,torch_matmul,0.0015407505445182324
2048,0.125,torch_spmm,0.018318632369240126
2048,0.125,sputnik,0.0027871584209303063
2048,0.0625,torch_matmul,0.0015348210620383421
2048,0.0625,torch_spmm,0.010846460703760386
2048,0.0625,sputnik,0.001498656099041303
2048,0.03125,torch_matmul,0.0015215547444919744
2048,0.03125,torch_spmm,0.004708982600520054
2048,0.03125,sputnik,0.00083807073533535
2048,0.015625,torch_matmul,0.0015344268331925074
2048,0.015625,torch_spmm,0.0029048135504126547
2048,0.015625,sputnik,0.00044577006871501605
2048,0.0078125,torch_matmul,0.0015331366720298925
2048,0.0078125,torch_spmm,0.0015617238357663154
2048,0.0078125,sputnik,0.00024036848917603494
2048,0.00390625,torch_matmul,0.0015402589924633503
2048,0.00390625,torch_spmm,0.0011441804158190886
2048,0.00390625,sputnik,0.00016605981315175692
4096,1.0,torch_matmul,0.013068843229363362
4096,1.0,torch_spmm,0.6475282612877588
4096,1.0,sputnik,0.0829689589018623
4096,0.5,torch_matmul,0.012892226905872424
4096,0.5,torch_spmm,0.9569651247002184
4096,0.5,sputnik,0.07017340110614896
4096,0.25,torch_matmul,0.012686601219077906
4096,0.25,torch_spmm,0.5346492693759501
4096,0.25,sputnik,0.04254030777762333
4096,0.125,torch_matmul,0.012640878340850275
4096,0.125,torch_spmm,0.30807190934816997
4096,0.125,sputnik,0.02399842080970605
4096,0.0625,torch_matmul,0.01247652235130469
4096,0.0625,torch_spmm,0.16971420270080367
4096,0.0625,sputnik,0.012474128386626641
4096,0.03125,torch_matmul,0.012474278112252553
4096,0.03125,torch_spmm,0.0917505440612634
4096,0.03125,sputnik,0.0065517588208119076
4096,0.015625,torch_matmul,0.01210779082030058
4096,0.015625,torch_spmm,0.03902642130851745
4096,0.015625,sputnik,0.0034202376070121923
