size,density,method,time
128,0.0078125,sputnik,5.090640236934026e-05
128,0.00390625,torch_matmul,1.1182234932978949e-05
128,0.00390625,torch_spmm,6.328209613760312e-05
128,0.00390625,sputnik,5.274585758646329e-05
256,1.0,torch_matmul,1.081898808479309e-05
256,1.0,torch_spmm,0.0003088708035647869
256,1.0,sputnik,5.7565731306870775e-05
256,0.5,torch_matmul,1.1419722189505896e-05
256,0.5,torch_spmm,0.00018088876580198607
256,0.5,sputnik,8.108243346214295e-05
256,0.25,torch_matmul,1.0778320332368215e-05
256,0.25,torch_spmm,0.00015816331530610722
256,0.25,sputnik,6.973265359799067e-05
256,0.125,torch_matmul,1.5964172780513765e-05
256,0.125,torch_spmm,0.0001000472034017245
256,0.125,sputnik,4.853984961907069e-05
256,0.0625,torch_matmul,1.0691862553358077e-05
256,0.0625,torch_spmm,7.683010771870613e-05
256,0.0625,sputnik,5.8578792959451675e-05
256,0.03125,torch_matmul,1.161561037103335e-05
256,0.03125,torch_spmm,6.0605226705471676e-05
256,0.03125,sputnik,5.37353257338206e-05
256,0.015625,torch_matmul,1.7532364775737127e-05
256,0.015625,torch_spmm,9.289259711901347e-05
256,0.015625,sputnik,7.411176338791847e-05
256,0.0078125,torch_matmul,1.1464053144057591e-05
256,0.0078125,torch_spmm,0.00010199015960097313
256,0.0078125,sputnik,6.827575465043386e-05
256,0.00390625,torch_matmul,1.1702657987674077e-05
256,0.00390625,torch_spmm,7.630825663606326e-05
256,0.00390625,sputnik,5.996450781822205e-05
512,1.0,torch_matmul,5.973918984333674e-05
512,1.0,torch_spmm,0.00271953862781326
512,1.0,sputnik,0.000263452623039484
512,0.5,torch_matmul,5.406637986501058e-05
512,0.5,torch_spmm,0.0010430771547059218
512,0.5,sputnik,0.00012707536419232686
512,0.25,torch_matmul,5.388390272855759e-05
512,0.25,torch_spmm,0.0005600323900580406
512,0.25,sputnik,8.49690909186999e-05
512,0.125,torch_matmul,5.332970370848974e-05
512,0.125,torch_spmm,0.00039601543297370273
512,0.125,sputnik,5.79787107805411e-05
512,0.0625,torch_matmul,5.33995529015859e-05
512,0.0625,torch_spmm,0.00024065785109996795
512,0.0625,sputnik,5.9773555646340054e-05
512,0.03125,torch_matmul,5.3314057489236195e-05
512,0.03125,torch_spmm,0.00014854113881786665
512,0.03125,sputnik,5.843713879585266e-05
512,0.015625,torch_matmul,5.323070411880811e-05
512,0.015625,torch_spmm,0.00011021563162406285
512,0.015625,sputnik,5.847293262680372e-05
512,0.0078125,torch_matmul,5.334774032235145e-05
512,0.0078125,torch_spmm,9.476669753591219e-05
512,0.0078125,sputnik,5.038601035873095e-05
512,0.00390625,torch_matmul,5.317963659763336e-05
512,0.00390625,torch_spmm,0.00015242062509059905
512,0.00390625,sputnik,0.00010670519744356473
1024,1.0,torch_matmul,0.0002494978718459606
1024,1.0,torch_spmm,0.01457588334257404
1024,1.0,sputnik,0.0014002645388245583
1024,0.5,torch_matmul,0.00021355058997869493
1024,0.5,torch_spmm,0.005853312245259683
1024,0.5,sputnik,0.0007441361745198567
1024,0.25,torch_matmul,0.0002140904466311137
1024,0.25,torch_spmm,0.0030881295911967753
1024,0.25,sputnik,0.0005176508488754432
1024,0.125,torch_matmul,0.00021155659730235735
1024,0.125,torch_spmm,0.0016525149966279665
1024,0.125,sputnik,0.0003261803338925044
1024,0.0625,torch_matmul,0.0002121805213391781
1024,0.0625,torch_spmm,0.000997751671820879
1024,0.0625,sputnik,0.00019216580937306087
1024,0.03125,torch_matmul,0.00021288214872280757
1024,0.03125,torch_spmm,0.0005733171167472998
1024,0.03125,sputnik,0.00011158861840764682
1024,0.015625,torch_matmul,0.00021399054676294327
1024,0.015625,torch_spmm,0.0003681931955118974
1024,0.015625,sputnik,8.404407029350598e-05
1024,0.0078125,torch_matmul,0.00021478322645028433
1024,0.0078125,torch_spmm,0.00025412058457732203
1024,0.0078125,sputnik,5.3800052652756375e-05
1024,0.00390625,torch_matmul,0.00021159052848815919
1024,0.00390625,torch_spmm,0.0002104549358288447
1024,0.00390625,sputnik,6.588355948527654e-05
2048,1.0,torch_matmul,0.0015555397296945254
2048,1.0,torch_spmm,0.08979237582534552
2048,1.0,sputnik,0.010487589923044046
2048,0.5,torch_matmul,0.0015534650223950545
2048,0.5,torch_spmm,0.04303010919441779
2048,0.5,sputnik,0.006897437013685703
2048,0.25,torch_matmul,0.001557192268470923
2048,0.25,torch_spmm,0.026769413395474354
2048,0.25,sputnik,0.004526804201304913
2048,0.125,torch_matmul,0.001530446484684944
2048,0.125,torch_spmm,0.018138149473816156
2048,0.125,sputnik,0.0026454958754281205
2048,0.0625,torch_matmul,0.0015410119046767553
2048,0.0625,torch_spmm,0.010890148859471083
2048,0.0625,sputnik,0.001470003401239713
2048,0.03125,torch_matmul,0.001527333166450262
2048,0.03125,torch_spmm,0.004640171366433302
2048,0.03125,sputnik,0.0008149346026281516
2048,0.015625,torch_matmul,0.00152581837028265
2048,0.015625,torch_spmm,0.0028704015848537287
2048,0.015625,sputnik,0.00045376767714818317
2048,0.0078125,torch_matmul,0.0015406470745801925
2048,0.0078125,torch_spmm,0.0018101875980695088
2048,0.0078125,sputnik,0.000259403046220541
2048,0.00390625,torch_matmul,0.0015243811532855034
2048,0.00390625,torch_spmm,0.0011059810407459737
